"item_name","ing_id","ing_name","ing_weight","ing_price","order_quantity","recipe_quantity","ordered_weight","unit_cost","ingredient_cost"
"San Pelligrino 33cl","ING044","San Pelligrino 33cl",1,"0.36","4",1,"4","0.36000000000000000000","1.44000000000000000000"
"Pizza Napolitana Large","ING003","Mozzarella cheese",2500,"14.45","9",200,"1800","0.00578000000000000000","10.40400000000000000000"
"Pizza Parmigiana Large","ING007","Eggplant",1000,"1.90","10",150,"1500","0.00190000000000000000","2.85000000000000000000"
"Pizza Quattro Formaggi Large","ING010","Ricotta cheese",1500,"3.99","39",180,"7020","0.00266000000000000000","18.67320000000000000000"
"Caesar Salad","ING021","Rotisserie chicken pieces",5000,"34.45","37",120,"4440","0.00689000000000000000","30.59160000000000000000"
"Pizza Napolitana Large","ING011","Anchovies",1000,"10.99","9",50,"450","0.01099000000000000000","4.94550000000000000000"
"Pizza Margherita Reg","ING002","Tomato sauce ",4500,"3.89","18",80,"1440","0.00086444444444444444","1.24479999999999999360"
"Perrier 33cl","ING046","Perrier 33cl",1,"0.36","3",1,"3","0.36000000000000000000","1.08000000000000000000"
"Coca Cola Regular 1.5l","ING033","Coca Cola Regular 1.5l",1,"0.96","10",1,"10","0.96000000000000000000","9.60000000000000000000"
"Banoffee Pie","ING030","Banoffee pie",1200,"1.15","35",120,"4200","0.00095833333333333333","4.02499999999999998600"
"Pizza Margherita Large","ING003","Mozzarella cheese",2500,"14.45","7",200,"1400","0.00578000000000000000","8.09200000000000000000"
"Pizza Hawaiian Large","ING018","Pineapple",5000,"6.23","6",120,"720","0.00124600000000000000","0.89712000000000000000"
"Pizza Seafood Reg","ING002","Tomato sauce ",4500,"3.89","6",80,"480","0.00086444444444444444","0.41493333333333333120"
"Pizza Pepperoni Large","ING002","Tomato sauce ",4500,"3.89","18",100,"1800","0.00086444444444444444","1.55599999999999999200"
"Sprite Diet 33cl","ING038","Sprite Diet 33cl",1,"0.41","1",1,"1","0.41000000000000000000","0.41000000000000000000"
"Caesar Salad","ING022","Croutons",1250,"5.25","37",50,"1850","0.00420000000000000000","7.77000000000000000000"
"Pizza Quattro Formaggi Reg","ING001","Pizza dough ball (8 pack)",2000,"4.22","22",250,"5500","0.00211000000000000000","11.60500000000000000000"
"Pizza Pepperoni Large","ING003","Mozzarella cheese",2500,"14.45","18",200,"3600","0.00578000000000000000","20.80800000000000000000"
"Pizza Parmigiana Reg","ING007","Eggplant",1000,"1.90","9",120,"1080","0.00190000000000000000","2.05200000000000000000"
"Pizza Pepperoni Reg","ING001","Pizza dough ball (8 pack)",2000,"4.22","10",250,"2500","0.00211000000000000000","5.27500000000000000000"
"Fanta Diet 1.5l","ING043","Fanta Diet 1.5l",1,"0.96","2",1,"2","0.96000000000000000000","1.92000000000000000000"
"Coca Cola Diet 33cl","ING034","Coca Cola Diet 33cl",1,"0.41","8",1,"8","0.41000000000000000000","3.28000000000000000000"
"Pizza Napolitana Large","ING002","Tomato sauce ",4500,"3.89","9",100,"900","0.00086444444444444444","0.77799999999999999600"
"Pizza Hawaiian Large","ING003","Mozzarella cheese",2500,"14.45","6",200,"1200","0.00578000000000000000","6.93600000000000000000"
"Pizza Quattro Formaggi Large","ING009","Gorgonzola cheese",3500,"27.64","39",180,"7020","0.00789714285714285714","55.43794285714285712280"
"Pizza Margherita Reg","ING003","Mozzarella cheese",2500,"14.45","18",170,"3060","0.00578000000000000000","17.68680000000000000000"
"Pizza Quattro Formaggi Large","ING003","Mozzarella cheese",2500,"14.45","39",200,"7800","0.00578000000000000000","45.08400000000000000000"
"Pizza Parmigiana Large","ING002","Tomato sauce ",4500,"3.89","10",100,"1000","0.00086444444444444444","0.86444444444444444000"
"Pizza Diavola (hot) Large","ING001","Pizza dough ball (8 pack)",2000,"4.22","27",300,"8100","0.00211000000000000000","17.09100000000000000000"
"Pizza Seafood Large","ING002","Tomato sauce ",4500,"3.89","2",100,"200","0.00086444444444444444","0.17288888888888888800"
"Pizza Seafood Large","ING001","Pizza dough ball (8 pack)",2000,"4.22","2",300,"600","0.00211000000000000000","1.26600000000000000000"
"Pizza Pepperoni Large","ING001","Pizza dough ball (8 pack)",2000,"4.22","18",300,"5400","0.00211000000000000000","11.39400000000000000000"
"Pizza Margherita Reg","ING001","Pizza dough ball (8 pack)",2000,"4.22","18",250,"4500","0.00211000000000000000","9.49500000000000000000"
"Pizza Diavola (hot) Reg","ING005","Spicy salami",3500,"37.64","30",50,"1500","0.01075428571428571429","16.13142857142857143500"
"Pizza Quattro Formaggi Reg","ING010","Ricotta cheese",1500,"3.99","22",150,"3300","0.00266000000000000000","8.77800000000000000000"
"Perrier 1.5l","ING047","Perrier 1.5l",1,"0.86","10",1,"10","0.86000000000000000000","8.60000000000000000000"
"Pizza Margherita Large","ING001","Pizza dough ball (8 pack)",2000,"4.22","7",300,"2100","0.00211000000000000000","4.43100000000000000000"
"Pizza Napolitana Large","ING001","Pizza dough ball (8 pack)",2000,"4.22","9",300,"2700","0.00211000000000000000","5.69700000000000000000"
"Pizza Napolitana Reg","ING002","Tomato sauce ",4500,"3.89","14",80,"1120","0.00086444444444444444","0.96817777777777777280"
"Vanilla Ice cream","ING025","Vanilla ice cream",4500,"15.45","8",100,"800","0.00343333333333333333","2.74666666666666666400"
"Caesar Salad","ING024","Caesar dressing",3800,"17.98","37",20,"740","0.00473157894736842105","3.50136842105263157700"
"Pizza Napolitana Reg","ING001","Pizza dough ball (8 pack)",2000,"4.22","14",250,"3500","0.00211000000000000000","7.38500000000000000000"
"Pizza Quattro Formaggi Large","ING002","Tomato sauce ",4500,"3.89","39",100,"3900","0.00086444444444444444","3.37133333333333331600"
"Pizza Quattro Formaggi Large","ING001","Pizza dough ball (8 pack)",2000,"4.22","39",300,"11700","0.00211000000000000000","24.68700000000000000000"
"Pistachio Ice cream","ING028","Pistachio ice cream",4500,"15.45","6",100,"600","0.00343333333333333333","2.05999999999999999800"
"Pizza Seafood Large","ING003","Mozzarella cheese",2500,"14.45","2",200,"400","0.00578000000000000000","2.31200000000000000000"
"Pizza Quattro Formaggi Large","ING008","Parmesan cheese",2500,"18.75","39",180,"7020","0.00750000000000000000","52.65000000000000000000"
"Pizza Quattro Formaggi Reg","ING008","Parmesan cheese",2500,"18.75","22",150,"3300","0.00750000000000000000","24.75000000000000000000"
"Chocolate Ice cream","ING026","Chocolate ice cream",4500,"15.45","37",100,"3700","0.00343333333333333333","12.70333333333333332100"
"Pizza Parmigiana Reg","ING002","Tomato sauce ",4500,"3.89","9",80,"720","0.00086444444444444444","0.62239999999999999680"
"Sprite Regular 1.5l","ING037","Sprite Regular 1.5l",1,"0.96","11",1,"11","0.96000000000000000000","10.56000000000000000000"
"Pizza Diavola (hot) Reg","ING002","Tomato sauce ",4500,"3.89","30",80,"2400","0.00086444444444444444","2.07466666666666665600"
"Chicken Wings","ING020","Chicken wings",6000,"69.83","30",120,"3600","0.01163833333333333333","41.89799999999999998800"
"Pizza Diavola (hot) Large","ING003","Mozzarella cheese",2500,"14.45","27",200,"5400","0.00578000000000000000","31.21200000000000000000"
"Pizza Napolitana Reg","ING003","Mozzarella cheese",2500,"14.45","14",170,"2380","0.00578000000000000000","13.75640000000000000000"
"Pizza Parmigiana Large","ING008","Parmesan cheese",2500,"18.75","10",200,"2000","0.00750000000000000000","15.00000000000000000000"
"San Pelligrino 1.5l","ING045","San Pelligrino 1.5l",1,"0.86","9",1,"9","0.86000000000000000000","7.74000000000000000000"
"Pizza Parmigiana Reg","ING008","Parmesan cheese",2500,"18.75","9",170,"1530","0.00750000000000000000","11.47500000000000000000"
"Pizza Hawaiian Reg","ING018","Pineapple",5000,"6.23","1",100,"100","0.00124600000000000000","0.12460000000000000000"
"Coca Cola Regular 33cl","ING032","Coca Cola Regular 33cl",1,"0.41","14",1,"14","0.41000000000000000000","5.74000000000000000000"
"Pizza Parmigiana Large","ING003","Mozzarella cheese",2500,"14.45","10",200,"2000","0.00578000000000000000","11.56000000000000000000"
"Pizza Seafood Reg","ING014","Shrimp",1000,"8.98","6",150,"900","0.00898000000000000000","8.08200000000000000000"
"Pizza Diavola (hot) Reg","ING006","Chilli pepper",1000,"6.49","30",10,"300","0.00649000000000000000","1.94700000000000000000"
"Pizza Seafood Large","ING015","Tuna",2000,"7.66","2",175,"350","0.00383000000000000000","1.34050000000000000000"
"Caesar Salad","ING023","Romain lettuce",7500,"13.72","37",100,"3700","0.00182933333333333333","6.76853333333333332100"
"Pizza Hawaiian Large","ING001","Pizza dough ball (8 pack)",2000,"4.22","6",300,"1800","0.00211000000000000000","3.79800000000000000000"
"Pizza Seafood Reg","ING015","Tuna",2000,"7.66","6",150,"900","0.00383000000000000000","3.44700000000000000000"
"Pizza Seafood Reg","ING003","Mozzarella cheese",2500,"14.45","6",170,"1020","0.00578000000000000000","5.89560000000000000000"
"Pizza Hawaiian Reg","ING001","Pizza dough ball (8 pack)",2000,"4.22","1",250,"250","0.00211000000000000000","0.52750000000000000000"
"Pizza Hawaiian Reg","ING003","Mozzarella cheese",2500,"14.45","1",170,"170","0.00578000000000000000","0.98260000000000000000"
"Pizza Diavola (hot) Large","ING006","Chilli pepper",1000,"6.49","27",15,"405","0.00649000000000000000","2.62845000000000000000"
"Pizza Seafood Reg","ING001","Pizza dough ball (8 pack)",2000,"4.22","6",250,"1500","0.00211000000000000000","3.16500000000000000000"
"Garlic Bread","ING019","Garlic and parsley butter",3000,"52.10","17",15,"255","0.01736666666666666667","4.42850000000000000085"
"Pizza Seafood Reg","ING016","Calamari",2500,"28.77","6",150,"900","0.01150800000000000000","10.35720000000000000000"
"Pizza Pepperoni Reg","ING002","Tomato sauce ",4500,"3.89","10",80,"800","0.00086444444444444444","0.69155555555555555200"
"Pizza Napolitana Reg","ING011","Anchovies",1000,"10.99","14",100,"1400","0.01099000000000000000","15.38600000000000000000"
"Pizza Hawaiian Large","ING002","Tomato sauce ",4500,"3.89","6",100,"600","0.00086444444444444444","0.51866666666666666400"
"Coca Cola Diet 1.5l","ING035","Coca Cola Diet 1.5l",1,"0.96","1",1,"1","0.96000000000000000000","0.96000000000000000000"
"Fanta Regular 1.5l","ING041","Fanta Regular 1.5l",1,"0.96","6",1,"6","0.96000000000000000000","5.76000000000000000000"
"Pizza Diavola (hot) Large","ING002","Tomato sauce ",4500,"3.89","27",100,"2700","0.00086444444444444444","2.33399999999999998800"
"Pizza Margherita Reg","ING004","Dried oregano",500,"5.99","18",5,"90","0.01198000000000000000","1.07820000000000000000"
"Pizza Diavola (hot) Reg","ING001","Pizza dough ball (8 pack)",2000,"4.22","30",250,"7500","0.00211000000000000000","15.82500000000000000000"
