Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,,Audience targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - answer,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Stories by action type - answer,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - unlike_page_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Lifetime Negative Feedback by Type - unlike_page_clicks,Posted_TH
352750091735719_1348890275455024,https://www.facebook.com/skooldio/posts/1348890275455024,"🔥 #พิเศษสุดๆ! สมัครก่อน 5 ธ.ค.นี้ รับส่วนลด 2,000 บาท 🔥
.
💕 กลับมาอีกครั้งกับคอร์สที่จะทำให้คุณสามารถออกแบบบริการให้เป็นที่ประทับใจของลูกค้า พร้อมสร้างระบบการทำงานที่เฟรนด์ลี่กับทีม!
.
⭐️ คอร์ส Service Design in the Digital Age รุ่นที่ 4 ⭐️
👉 ดูรายละเอียดเพิ่มเติม https://to.skooldio.com/ServiceDesign04
.
ถ้าคุณอยากจะสร้างประสบการณ์ที่ดีให้กับลูกค้า ห้ามพลาด‼️
🚀 1 วันเต็มกับเวิร์กชอปสุดเข้มข้น ที่คุณจะได้เรียนรู้และฝึกฝนกระบวนการออกแบบ บริการผ่านเครื่องมือต่างๆ ทั้ง Persona, User Journey Mapping, Service Blueprint เพื่อให้ลูกค้าและลูกทีมของคุณได้รับประสบการณ์ที่ดีที่สุด
.
👩‍🏫 สอนโดยผู้เชี่ยวชาญด้าน Service Design
■ คุณเอย - ขวัญ พงษ์หาญยุทธ
นักวิจัยอิสระ ผู้เชี่ยวชาญด้านการออกแบบบริการและการคิดเชิงออกแบบ
นักศึกษาระดับปริญญาเอก Royal College of Arts, London
.
⏱ วัน เวลา สถานที่
วันที่: วันที่ 15 ธันวาคม 2563
เวลา: 09:30 - 17:00 น.
สถานที่: Skooldio Space, MBK Tower
.
ดูรายละเอียด/สมัคร 👉 https://to.skooldio.com/ServiceDesign04

#Skooldio #ServiceDesign",Photo,,,11/25/2020 9:24:00 PM,, ,1900,1900,0,2164,2164,0,23,19,20,0,0,1747,1573,0,0,20,0,0,0,0,0,0,0,0,0,0,,6,,,,6,,,5,1,13,,5,1,14,,,,,,,,2020-11-26 12:24:00 +07
352750091735719_1349076698769715,https://www.facebook.com/skooldio/posts/1349076698769715,"คุณแน่ใจใช่มั้ยว่าภาพคนที่คุณเห็นตามโซเชียลคือคนที่มีตัวตนอยู่จริง! 
.
ในไม่กี่ปีที่ผ่านมาเทคโนโลยี Artificial Intelligence ถูกพัฒนาขึ้นอย่างรวดเร็ว จนภาพ Deepfake กลายเป็นสิ่งที่เราอาจพบเห็นได้ง่ายๆ แบบไม่รู้ตัว
.
บนอินเตอร์เน็ตถึงขั้นมีเว็บขายภาพ Deepfake สำหรับให้ธุรกิจซื้อไปใช้งาน เพื่อเป็นภาพ “Worry-Free” ในการใช้ ไม่ต้องกังวลเรื่องการขออนุญาตใช้ภาพ หรือ Privacy เหมือนเอาภาพคนจริงๆ มา
.
ซึ่งความสามารถในการสร้างภาพเสมือน เพิ่งเป็นไปได้เมื่อไม่กี่ปีที่ผ่านมาด้วย AI รูปแบบใหม่คือ Generative Adversarial Network โดยการทำงานของมันคือ เราเอาภาพคนจริงๆ จำนวนมาก ป้อนเข้าไปยังโปรแกรมคอมพิวเตอร์ให้มันศึกษาและพยายามสร้างรูปของมันขึ้นมาใหม่เองโดยอิงจากแพทเทิร์นที่เราป้อนเข้าไป โดยอีกส่วนของโปรแกรมก็จะพยายาม detect ดูว่ารูปไหนเป็นรูปปลอมด้วย ซึ่งการที่โปรแกรมฝึกทั้งสร้างรูปขึ้นมาใหม่และฝึกจับผิดว่าภาพไหนปลอม ทำให้ความสามารถในการสร้างภาพเสมือนจริงนั้นมีประสิทธิภาพยิ่งขึ้นไปอีก
.
แต่ความเก่งในการสร้างภาพของ AI ก็ยังมีความผิดพลาดอยู่ เราเลยจะพามาจับสังเกตข้อบกพร่องที่มักเกิดในภาพ Deepfake จากการสำรวจของ The New York Times กัน
.
1.เครื่องประดับ แม้หลายๆ ครั้งเครื่องประดับที่ใส่อยู่จะดูคล้ายกัน แต่ถ้าสังเกตดีๆ มันจะไม่เข้าคู่กันซะทีเดียว
.
2. ด้วยตัวระบบ Generative Adversarial Network ที่รับข้อมูลภาพมาประมวลมักได้รับภาพที่เป็นรูปหน้าตรง และตำแหน่งหน้าอยู่ตรงกลางพอดี เวลาภาพ Deepfake ที่สร้างออกมาใหม่ ส่วนมากตาสองข้างของคน Deepfake จึงมักจะสมมาตรจากกึ่งกลางมากๆ
.
3.แว่นตามักจะเป็นเครื่องประดับในรูปโดยมักเป็นแว่นกรอบบางที่ขาแวนไม่ค่อยตรงกันซักเท่าไหร่ด้วย
.
4.บางครั้งจุดที่สามารถจับสังเกตได้ก็ไม่ใช่ที่ตัวคนแต่เป็นแบ็คกราวที่มักจะเป็นรูปเบลอๆ
.
ใครอยากเรียนรู้วิธีการสร้างสรรค์สิ่งใหม่ๆ ด้วย Generative Adversarial Network สามารถเรียนคอร์สฟรีของ Skooldio ได้ที่ https://to.skooldio.com/rDTCoi3sHbb
.
Source: https://www.nytimes.com/interactive/2020/11/21/science/artificial-intelligence-fake-people-faces.html",Photo,,,11/25/2020 5:26:00 PM,, ,13805,13805,0,14934,14934,0,563,457,626,0,0,11223,10356,0,0,408,0,0,0,0,0,0,0,0,0,0,39,124,4,,39,126,4,,293,172,20,,430,172,24,,,,,,,,2020-11-26 08:26:00 +07
352750091735719_1348151832195535,https://www.facebook.com/skooldio/photos/a.457984764545584/1348971382113580/?type=3,"🚨 เปิดรับสมัครแล้ว!!
.
🚀 Data Analytics Bootcamp หลักสูตรที่จะติวเข้มพื้นฐานด้าน Data ให้แน่นปึ้ก ตลอด 2 เดือนเต็ม ด้วยทีมผู้เชี่ยวชาญตัวจริงในวงการ นำโดยดร.ต้า-วิโรจน์ จิรพัฒนกุล อดีต Data Scientist ที่ Facebook Headquater เราตั้งใจออกแบบให้ผู้เรียนทุกคนได้รับประสบการณ์ที่ดีที่สุด จึงมีการคัดเลือกผู้ร่วมคลาสให้หลากหลายและเหมาะสม
.
โดยในสองเดือนนี้คุณจะได้เรียนผ่าน
🔸 Workshops(วันอาทิตย์ที่ 20ธ.ค.20 และวันอาทิตย์ที่ 21ก.พ.21)
     : ที่ให้คุณได้เรียนพร้อมลงมือทำไปพร้อมกับผู้เชี่ยวชาญ
🔸 Online courses
     : ที่คุณสามารถเลือกเรียนตามเวลาและความเร็วได้เอง พร้อม TA ช่วยเหลือตลอดการเรียน
🔸 Sharing sessions (เย็นวันพุธ เดือนมกราคม ปี2021)
     : ที่คุณได้ฟังประสบการณ์จริงจากตัวจริงในวงการData
🔸 Capstone project
     : ที่คุณจะได้ใช้ความรู้ทั้งหมดตลอดหลักสูตร สร้างโปรเจคจริง โดยคุณสามารถนำหัวข้อจากงานจริงของคุณ หรือเรื่องใหม่ที่คุณสนใจ พร้อมคำแนะนำจากผู้สอนและทีมตลอดการทำโปรเจคนี้
.
📝  กรอกใบสมัครได้ที่: https://to.skooldio.com/Data-analytics-bootcamp ให้เวลาสักนิดกับการกรอก และเมื่อคุณพร้อมแล้ว พบกันใน Bootcamp ที่จะเปลี่ยนอนาคตการทำงานของคุณให้ดีขึ้นอย่างก้าวกระโดด
.
.
📍 หากคุณมีข้อสงสัยหรืออยากสอบถามเพิ่มเติม สามารถติดต่อเราได้ที่ hello@skooldio.com หรือทาง Facebook Chat ที่เพจของเรา",Photo,,,11/25/2020 4:47:29 AM,, ,36859,31008,8702,55218,35534,19684,2424,2074,3385,0,0,24606,11819,12110,4157,1258,0,0,0,0,0,0,0,0,0,0,155,448,43,,161,499,70,,1499,631,334,,2351,677,357,,,,,,,,2020-11-25 19:47:29 +07
352750091735719_1348746702136048,https://www.facebook.com/skooldio/posts/1348746702136048,"😲😍 #วะวะวะว้าว รู้ป่าวว่า Skooldio มี 5G ตั้งนานแล้ว! เราหมายถึง 5 Google Developer Experts ผู้เชี่ยวชาญสายเทคหลากหลายสาขา ที่ได้รับการการันตีฝีมือจาก Google มารวมตัวอยู่ที่ Skooldio เพื่อช่วยคุณพัฒนาทักษะใหม่ๆ ให้ทำงานเก่งขึ้นแบบก้าวกระโดด กับคอร์สสุดเข้มข้นทั้งด้าน Dev และ Data ได้แก่
.
.
1️⃣ ดร.ต้า-วิโรจน์ จิรพัฒนกุล (Google Developers Expert in Machine Learning)

🔸 คอร์ส Data Science for Business รุ่นที่ 11 : ฝึกฝนกระบวนการคิด สร้างมูลค่าธุรกิจให้ข้อมูล https://to.skooldio.com/i-data-business

🔸 คอร์ส Design Thinking meets Data Science รุ่น 2 : พลิกธุรกิจให้ติดปีกด้วย 2 ศาสตร์ยุคใหม่ https://to.skooldio.com/i-design-x-data
.
.
2️⃣ ปัญจมพงศ์ เสริมสวัสดิ์ศรี (Google Developers Expert in Web Technologies)

🔸 คอร์ส Ionic React Bundle : พัฒนา Application ครั้งเดียวใช้ได้ทุกแพลตฟอร์ม https://to.skooldio.com/i-reacte-bundle
.
.
3️⃣ คุณวรัทธน์ วงศ์มณีกิจ (Google Developers Expert in Web Technologies)

🔸 คอร์ส Mastering Web Performance Optimization รุ่นที่ 6 : ติดสปีดเว็บไซต์ให้ธุรกิจปัง https://to.skooldio.com/i-web-performance
.
.
4️⃣ คุณสมเกียรติ กิจวงศ์วัฒนะ (Google Developers Expert in Android)

🔸 คอร์ส Android UI Design with XML : พื้นฐานสำคัญในการออกแบบ Android UI ด้วยภาษา XML https://to.skooldio.com/i-android-ui
.
.
5️⃣ คุณจิรายุส นิ่มแสง (Google Developers Expert in Google Cloud Platform)

🔸 คอร์ส Deploying Applications with Kubernetes Best Practices : นำ Application ขึ้น Kubernetes ฉบับผู้เชี่ยวชาญตัวจริง https://to.skooldio.com/i-kubernetes
.
.
🔥🚀 ถ้าอยากเรียนรู้กับตัวจริง ต้องมาอัพสกิลที่ Skooldio เท่านั้น!!
.
#Skooldio #UpskillWithSkooldio",Photo,,,11/24/2020 9:29:41 PM,, ,13196,13196,0,14884,14884,0,719,497,706,1,1,9395,8273,0,0,489,0,0,0,0,0,0,0,0,0,0,44,253,13,,45,292,18,,373,81,62,,560,82,64,,1,,,1,,,2020-11-25 12:29:41 +07
352750091735719_1348317148845670,https://www.facebook.com/skooldio/posts/1348317148845670,"เราจะสร้างองค์กรแบบ Data Driven ได้อย่างไร 🤔
.
💻 ในโลกยุคดิจิทัล เรามีแหล่งข้อมูลใหม่ ๆ เป็นจำนวนมาก ส่งผลให้ปริมาณข้อมูลเพิ่มขึ้นอย่างมหาศาล องค์กรที่ต้องการนำข้อมูลไปใช้ให้เกิดประโยชน์ต้องมีวิธีคิด มีกระบวนการตัดสินใจ มีเครื่องมือ มีบุคลากรที่พร้อมรับมือกับความเปลี่ยนแปลงนี้ 
.
3 ขั้นตอนในการสร้าง Data-Driven Organization  ประกอบด้วย
.
1️⃣การเก็บข้อมูล ซึ่งต้องเป็นข้อมูลที่ถูกต้องและพร้อมใช้งาน 
2️⃣ทุกคนในองค์กรควรมีเครื่องมือที่สามารถใช้ดึงข้อมูลมาใช้ได้ง่ายๆ ที่ขาดไม่ได้คือการเข้าถึงข้อมูล และการทำ Data Governance สำหรับการบริหารข้อมูล เพื่อให้คนในองค์กรสามารถนำข้อมูลไปใช้ได้จริง  
3️⃣คนในองค์กรมีความรู้ในการนำข้อมูลไปใช้ เริ่มมีความรู้เรื่องสถิติ วิเคราะห์ข้อมูลเป็นและถูกต้อง
.
ซึ่งคีย์ของ Data Driven คือทุกคนในองค์กรจะต้องสามารถนำข้อมูลมาใช้ประกอบการตัดสินใจได้
.
อยากเรียนรู้เพิ่มเติมว่าจะสร้างData-Driven Culture ให้กับทีมและองค์กร
เพื่อเพิ่มความสามารถทางการแข่งขันให้กับธุรกิจ 
.
สมัครเข้าร่วมเวิร์คชอป Data Science for Business รุ่น 11
ได้เลยที่นี่ https://to.skooldio.com/DataScience11
.
สอนโดย ดร.วิโรจน์ จิรพัฒนกุล
- MD, Skooldio
- อดีต Data Scientist ที่ Facebook Headquarter

#skooldio #data #datascience",Photo,,,11/24/2020 5:24:00 PM,, ,4391,4391,0,4810,4810,0,107,41,48,0,0,3713,3423,0,0,94,0,0,0,0,0,0,0,0,0,0,20,62,,,22,65,,,17,12,14,,22,12,14,,,,,,,,2020-11-25 08:24:00 +07
352750091735719_1348102718867113,https://www.facebook.com/skooldio/posts/1348102718867113,"💇🏻‍♂️ 💁🏻‍♀️ ถึงผมจะยาวเป็นศอก บอกเลยว่าไม่มีบังเพื่อน เพราะ Skooldio Space เปิดบริการห้องใหญ่ใหม่กริ๊ก วิวหรูเหมือนอยู่ Penthouse พร้อมอุปกรณ์สุดล้ำ เป็นพื้นที่คูลๆ สำหรับจัดประชุม สัมมนา อีเวนต์ และเวิร์กชอป
.
เดินทางสะดวก โลเคชั่นใจกลางเมืองติด BTS สนามกีฬา บนตึก MBK Tower พร้อมบริการที่จอดรถและสิ่งอำนวยความสะดวกมากมาย
.
ต้องการจองหรือสอบถามข้อมูลเพิ่มเติม
โทร. 094-262-4245
Facebook: Skooldio
Email: hello@skooldio.com",Photo,,,11/24/2020 3:47:52 AM,, ,13759,13759,0,15041,15041,0,840,544,968,0,0,7461,6847,0,0,349,0,0,0,0,0,0,0,0,0,0,37,459,33,,37,514,63,,488,101,,,864,104,,,,,,,,,2020-11-24 18:47:52 +07
352750091735719_1347811612229557,https://www.facebook.com/skooldio/posts/1347811612229557,"🔥 รอบสุดท้ายของปี 🔥
สำหรับ Workshop: Data Science for Business รุ่น 11
.
สอนโดย ดร.วิโรจน์ จิรพัฒนกุล
🔵 MD, Skooldio
🔵 อดีต Data Scientist ที่ Facebook Headquarter
.
สมัครภายในวันที่ 10 ธันวาคมนี้
รับโปรโมชั่นพิเศษ ส่วนลดสูงสุด 2,000 บาท
.
สมัครได้เลยที่นี่ https://to.skooldio.com/DataScience11
.
Workshop นี้เหมาะสำหรับ
🔹 ผู้บริหารที่ต้องการสร้าง Data-Driven Culture ให้กับทีมและองค์กร และเพิ่มเพิ่มความสามารถทางการแข่งขันให้กับธุรกิจ
🔹 บุคลากรในองค์กรที่ต้องการนำ Data มาเพิ่มประสิทธิภาพในการทำงาน
🔹 บุคคลทั่วไปที่ต้องการศึกษาแนวทางนำ Data มาใช้ในธุรกิจ
 
สอบถามข้อมูลเพิ่มเติม
 
ติดต่อ คุณกมลวรรณ
โทร: 094-262-4245
Email: kamonwan.ch@skooldio.com",Photo,,,11/23/2020 5:27:06 PM,, ,3708,3708,0,4446,4446,0,101,65,82,0,0,3119,2525,0,0,76,0,0,0,0,0,0,0,0,0,0,6,43,2,,6,45,2,,36,5,31,,46,5,31,,,,,,,,2020-11-24 08:27:06 +07
352750091735719_1347275315616520,https://www.facebook.com/skooldio/posts/1347275315616520,"#เล่นเกมยังไง #ให้ทำงานเก่งกว่าเดิม อยากเขียน CSS เก่งเร็วๆ ไปเล่นเกมดิ! พูดแบบนี้ไม่ได้หยอกเพราะเรามีหลายเกมสนุกๆ มาแนะนำ Front end มือใหม่ให้ฝึกการ Code ได้อย่างรวดเร็ว ถ้าพร้อมแล้วมาเริ่ม START กันเลย
.
CSS Diner
เกมส์แรกเป็นเกมส์ที่ให้เราได้ฝึกเขียน CSS Selectors ให้คล่อง โดยเราจะต้องเขียน Selectors เพื่อเลือกของบนโต๊ะอาหาร โดยจะมีทั้งหมด 32 เลเวล แต่ละเลเวลก็จะให้ฝึกเขียน selectors ที่ต่างไปเรื่อยๆ
https://flukeout.github.io/
.
Flexbox Zombies
เกมส์ที่ 2 เป็นเกมส์ล่าซอมบี้ผ่านการฝึกใช้ Flexbox โดยเราจะต้องใช้ Flexbox ในการคุมตำแหน่งหน้าไม้ให้ยิงโดนซอมบี้ก่อนที่เราจะโดนกัดซะก่อน
https://geddski.teachable.com/p/flexbox-zombies
.
Flexbox Froggy
ใครที่ไม่ใช่สายล่าซอมบี้แต่อยากฝึกใช้ Flexbox ก็มีเกมส์ Flexbox Froggy อีกเกมส์ โดยวิธีเล่นก็ง่ายๆ เพียงแค่ใช้ Flexbox ช่วยบังคับพาน้องกบกลับบ้าน
https://flexboxfroggy.com/
.
Grid Garden
ฝึกฝนการจัดโครงสร้างเว็บหรือ Layout ผ่านการปลูกผัก โดยเราจะต้องใช้ Grid ในการสั่งการรดน้ำให้ถูกที่เพื่อให้ผักในสวนโต 
https://cssgridgarden.com/
.
CSS Battle
อีกหนึ่งเกมส์ที่ใช้ฝึกเขียน Layout โดยจะเป็นการ battle ระหว่างผู้เล่นทั่วโลกในการเขียน layout ออกมาให้คล้ายภาพต้นแบบด้วยจำนวน code ที่น้อยที่สุด ใครที่ชอบการแข่งขันไม่ควรพลาดเลย
https://cssbattle.dev/
.
ใครที่คิดว่าสกิลยังไม่ถึง อยากจะรู้เรื่อง CSS มากกว่านี้ มาเรียนคอร์ส Essential CSS for Web Developers กับ Skooldio ก่อนได้ สมัครตอนนี้ลดทันที 50% พร้อมรับ Cheatsheet สรุป CSS สุดพิเศษ สำหรับ 100 ท่านแรกด้วย 👉 https://to.skooldio.com/css

#CSS #Skooldio",Photo,,,11/23/2020 5:26:00 PM,, ,48241,48241,0,55947,55947,0,2460,1505,2387,0,0,13357,10807,0,0,847,0,0,0,0,0,0,0,0,0,0,826,828,55,,852,899,83,,1095,248,291,,1535,256,596,,,,,,,,2020-11-24 08:26:00 +07
352750091735719_1347274672283251,https://www.facebook.com/skooldio/posts/1347274672283251,"🚀 มาพลิกธุรกิจให้ติดปีกอีกครั้ง ด้วย 2 ศาสตร์สำคัญแห่งโลกยุคใหม่ ทั้ง Data Science และ Design Thinking ที่จะช่วยสร้าง Impact ให้ธุรกิจของคุณอย่างได้ผล กับพอดแคสต์จาก THE SECRET SAUCE ทั้ง 2 EPs นี้!
.
✅ EP123: วิธีการใช้ Data ทำธุรกิจให้ประสบความสำเร็จ https://www.podbean.com/ew/pb-ffavq-b535d6

โดย ดร. วิโรจน์ จิรพัฒนกุล ผู้ร่วมก่อตั้ง Skooldio และ อดีต Data Scientist ที่ Facebook Headquarter
.
✅ EP224: คาถา Design Thinking ในช่วงวิกฤต ยอมรับ-ถอยหลัง-ตั้งหลัก-เปิดใจ-รับฟัง-ลงมือเร็ว 
https://www.podbean.com/ew/pb-4tt7x-d9c9a4

โดย คุณเมษ์ ศรีพัฒนาสกุล ผู้ก่อตั้ง LUKKID และ ศิษย์เก่า Standford d.school ต้นตำรับ Design Thinking
.
❤️‍🔥 เรียน 2 ศาสตร์นี้แบบเข้มข้น กับตัวจริงทั้ง 2 ท่าน

รีบมาสมัครคอร์ส Design Thinking meets Data Science รุ่นที่ 2 
วันที่ 17 ธันวาคม 2563 เวลา 9:30-17:00 น.

สมัครเลย! https://to.skooldio.com/DTmeetsDT021
.
#designthinking #datascience #covid19 #podcast #thesecretsauce #lukkid #skooldio",Photo,,,11/23/2020 2:40:36 AM,, ,4496,4496,0,4911,4911,0,142,66,83,0,0,4016,3764,0,0,131,0,0,0,0,0,0,0,0,0,0,36,56,,,36,57,,,14,6,50,,25,6,52,,,,,,,,2020-11-23 17:40:36 +07
352750091735719_1342484239428961,https://www.facebook.com/skooldio/posts/1342484239428961,"📊 พูดกันจังว่า ‘บริษัทเราจะต้อง Data-Driven’ 
🗣  แต่ถามจริงเหอะ ในองค์กรคุณมีคนวิเคราะห์ Data เป็นจริงๆ กี่คน?
.
👨🏻‍💻 หลายคนคงเคยเจอหัวหน้าขอให้นำ Data ไปใช้ทำแคมเปญเจ๋งๆ ออกฟีเจอร์ใหม่ๆ หรือขอให้วิเคราะห์ข้อมูลเพื่อดูเทรนด์ต่างๆ 
.
📈 ที่จริงแล้วการนำข้อมูลไปใช้ไม่ใช่เรื่องยาก สิ่งที่ยากคือจะเริ่มยังไง? ในบทความนี้ เราจึงอยากแนะนำให้ทุกคนรู้จักกระบวนการวิเคราะห์ข้อมูลที่เรียกว่า Exploratory Data Analysis เพื่อเริ่มวิเคราะห์ข้อมูลกันอย่างถูกต้อง และง่ายดาย
.
👉 อ่านบทความฉบับเต็มได้ที่ https://to.skooldio.com/3eda-info

=================================

🚀 ถึงเวลาเรียนรู้ทักษะที่ทุกบริษัทยุคใหม่ต้องการมากที่สุด เพื่อใช้ข้อมูลสร้าง Impact ให้องค์กรได้ โดยฝึกวิเคราะห์ Data ด้วยตัวเองง่ายๆ ผ่าน Google Sheets กับคอร์สสุดพิเศษจากดร.ต้า - วิโรจน์ จิรพัฒนกุล 
.
🚩 ดูรายละเอียดที่ https://to.skooldio.com/3EDA-Inf
. 
#Skooldio #EDAwithGoogleSheets",Photo,,,11/22/2020 5:27:00 PM,, ,6442,6442,0,6878,6878,0,204,107,120,0,0,5616,5349,0,0,183,0,0,0,0,0,0,0,0,0,0,58,74,,,59,74,,,32,7,73,,39,7,74,,,,,,,,2020-11-23 08:27:00 +07
352750091735719_1346428012367917,https://www.facebook.com/skooldio/posts/1346428012367917,"🥊 เทียบกันหมัดต่อหมัด 🥊 
.
Hybrid App Framework สุดฮิต 🔥
React Native vs Ionic vs Flutter
.
Framework ไหนเด่นเรื่องอะไร เรามาดูกัน !!
.
=================================
.
⁇ หากคุณเป็น
😎 นิสิต นักศึกษา ที่มีความรู้ด้านพัฒนา web และสนใจการพัฒนา app
😎 นักพัฒนา web อยู่แล้ว แล้วต้องการพัฒนา app เพิ่ม 
นี่คือโอกาสของคุณ !!
.
🚨 CU Innovation Hub x Skooldio 🚨
✅ คอร์สเรียนสดออนไลน์ พัฒนา App ครั้งเดียว ใช้ได้ทุกแพลตฟอร์ม (iOS/Android/Web)
.
🔥 สมัครวันนี้ได้ทั้งทุนให้เปล่าสูงสุด 7,000 บาท จาก depa และ Certificate จาก CU Innovation Hub 
🔥 ไม่มีเงื่อนไขการรับทุนใด ๆ ทั้งสิ้น !! (ได้ทุกคน ย้ำว่าทุกคน!)
.
เวิร์กชอปที่จะสอนคุณพัฒนา Hybrid App ด้วยภาษาเว็บที่คุ้นเคยอย่าง #HTML, #CSS, #JavaScript และ Web Framework ยอดนิยมอย่าง #React ด้วย Open-Source Framework อย่าง #Ionic
.
👨‍🏫สอนโดยคุณณัฐนันท์ ฉันทานุรักษ์
(Lead Software Engineer - Learn Anywhere, Ex-Data Engineer - Agoda)
.
📱 เวิร์กชอป Ionic React Fundamentals (Live) 📱
📅 ศ. 27 พ.ย. 2563
🕘 เวลา 09.30 - 17.00 น.
.
🎉ผู้ที่ใช้ React อยู่แล้ว เรียน Ionic เพิ่มได้เลย !!
จากปกติราคา 9,390 บาท เหลือเพียง 3,900 บาท !! 
(1 คอร์สออนไลน์ + 1 Live Workshop)
สมัครเลย !! &gt;&gt; https://to.skooldio.com/hawfVtHmCbb
.
🎉เขียน HTML, CSS, JS เป็น เรียน React กับ Ionic เพิ่ม
จากปกติ 12,380 บาท เหลือเพียง 4,900 บาท !! 
(2 คอร์สออนไลน์ + 1 Live Workshop)
สมัครเลย !! &gt;&gt; https://to.skooldio.com/HlUEsuFmCbb
.
#Skooldio #CUInnovationHub #depa #HybridApplication",Photo,,,11/22/2020 4:43:00 AM,, ,29410,29410,0,32201,32201,0,1828,1360,1991,0,0,16488,14488,0,0,1138,0,0,0,0,0,0,0,0,0,0,225,466,60,,232,499,108,,850,588,18,,1379,594,18,,,,,,,,2020-11-22 19:43:00 +07
